Token	Count	Frequency
00	843	9.469920365046895E-4
01	272	3.055537769030552E-4
02	52	5.841469264323114E-5
03	79	8.8745398438755E-5
04	65	7.301836580403893E-5
05	79	8.8745398438755E-5
06	97	1.0896586896910424E-4
07	69	7.751180369967209E-5
08	65	7.301836580403893E-5
09	58	6.515484948668089E-5
0a	1	1.1233594739082912E-6
0b	0	0.0
0c	0	0.0
0d	0	0.0
0e	0	0.0
0f	0	0.0
0g	0	0.0
0h	0	0.0
0i	0	0.0
0j	0	0.0
0k	0	0.0
0l	0	0.0
0m	7	7.863516317358038E-6
0n	0	0.0
0o	0	0.0
0p	2	2.2467189478165824E-6
0q	0	0.0
0r	0	0.0
0s	156	1.7524407792969342E-4
0t	48	5.392125474759798E-5
0u	0	0.0
0v	0	0.0
0w	0	0.0
0x	2	2.2467189478165824E-6
0y	0	0.0
0z	0	0.0
10	262	2.9432018216397226E-4
11	135	1.516535289776193E-4
12	180	2.022047053034924E-4
13	131	1.4716009108198613E-4
14	145	1.628871237167022E-4
15	151	1.6962728056015195E-4
16	184	2.0669814319912558E-4
17	170	1.909711105644095E-4
18	412	4.6282410325021597E-4
19	1280	0.0014379001266026127
1a	3	3.3700784217248735E-6
1b	0	0.0
1c	0	0.0
1d	0	0.0
1e	0	0.0
1f	0	0.0
1g	1	1.1233594739082912E-6
1h	0	0.0
1i	0	0.0
1j	0	0.0
1k	0	0.0
1l	0	0.0
1m	2	2.2467189478165824E-6
1n	0	0.0
1o	0	0.0
1p	0	0.0
1q	0	0.0
1r	0	0.0
1s	11	1.2356954212991203E-5
1t	4	4.493437895633165E-6
1u	0	0.0
1v	0	0.0
1w	0	0.0
1x	0	0.0
1y	0	0.0
1z	0	0.0
20	850	9.548555528220475E-4
21	89	9.997899317783792E-5
22	79	8.8745398438755E-5
23	71	7.975852264748867E-5
24	66	7.414172527794722E-5
25	94	1.0559579054737937E-4
26	71	7.975852264748867E-5
27	88	9.885563370392962E-5
28	64	7.189500633013064E-5
29	41	4.605773843023994E-5
2a	0	0.0
2b	0	0.0
2c	0	0.0
2d	0	0.0
2e	0	0.0
2f	1	1.1233594739082912E-6
2g	0	0.0
2h	0	0.0
2i	0	0.0
2j	0	0.0
2k	1	1.1233594739082912E-6
2l	1	1.1233594739082912E-6
2m	0	0.0
2n	8	8.98687579126633E-6
2o	0	0.0
2p	0	0.0
2q	0	0.0
2r	0	0.0
2s	1	1.1233594739082912E-6
2t	13	1.4603673160807785E-5
2u	0	0.0
2v	0	0.0
2w	0	0.0
2x	0	0.0
2y	0	0.0
2z	0	0.0
30	148	1.662572021384271E-4
31	51	5.729133316932285E-5
32	80	8.98687579126633E-5
33	40	4.493437895633165E-5
34	37	4.1564300534606774E-5
35	53	5.953805211713943E-5
36	34	3.81942221128819E-5
37	34	3.81942221128819E-5
38	41	4.605773843023994E-5
39	47	5.2797895273689685E-5
3a	0	0.0
3b	0	0.0
3c	0	0.0
3d	1	1.1233594739082912E-6
3e	1	1.1233594739082912E-6
3f	1	1.1233594739082912E-6
3g	0	0.0
3h	0	0.0
3i	0	0.0
3j	0	0.0
3k	0	0.0
3l	0	0.0
3m	0	0.0
3n	0	0.0
3o	0	0.0
3p	0	0.0
3q	0	0.0
3r	9	1.011023526517462E-5
3s	0	0.0
3t	12	1.3480313686899494E-5
3u	0	0.0
3v	0	0.0
3w	0	0.0
3x	0	0.0
3y	0	0.0
3z	0	0.0
40	88	9.885563370392962E-5
41	36	4.044094106069848E-5
42	32	3.594750316506532E-5
43	30	3.3700784217248735E-5
44	44	4.942781685196481E-5
45	58	6.515484948668089E-5
46	42	4.718109790414823E-5
47	47	5.2797895273689685E-5
48	33	3.707086263897361E-5
49	50	5.616797369541456E-5
4a	0	0.0
4b	1	1.1233594739082912E-6
4c	0	0.0
4d	0	0.0
4e	0	0.0
4f	0	0.0
4g	0	0.0
4h	0	0.0
4i	0	0.0
4j	0	0.0
4k	0	0.0
4l	0	0.0
4m	2	2.2467189478165824E-6
4n	0	0.0
4o	0	0.0
4p	1	1.1233594739082912E-6
4q	0	0.0
4r	0	0.0
4s	1	1.1233594739082912E-6
4t	14	1.5727032634716077E-5
4u	0	0.0
4v	0	0.0
4w	0	0.0
4x	0	0.0
4y	0	0.0
4z	0	0.0
50	158	1.7749079687751E-4
51	27	3.0330705795523862E-5
52	40	4.493437895633165E-5
53	27	3.0330705795523862E-5
54	25	2.808398684770728E-5
55	44	4.942781685196481E-5
56	45	5.05511763258731E-5
57	27	3.0330705795523862E-5
58	40	4.493437895633165E-5
59	28	3.145406526943215E-5
5a	0	0.0
5b	0	0.0
5c	0	0.0
5d	0	0.0
5e	0	0.0
5f	1	1.1233594739082912E-6
5g	0	0.0
5h	0	0.0
5i	1	1.1233594739082912E-6
5j	0	0.0
5k	0	0.0
5l	0	0.0
5m	4	4.493437895633165E-6
5n	0	0.0
5o	0	0.0
5p	0	0.0
5q	0	0.0
5r	0	0.0
5s	3	3.3700784217248735E-6
5t	19	2.1343830004257532E-5
5u	0	0.0
5v	0	0.0
5w	0	0.0
5x	0	0.0
5y	0	0.0
5z	0	0.0
60	133	1.494068100298027E-4
61	36	4.044094106069848E-5
62	30	3.3700784217248735E-5
63	43	4.830445737805652E-5
64	56	6.29081305388643E-5
65	52	5.841469264323114E-5
66	32	3.594750316506532E-5
67	33	3.707086263897361E-5
68	45	5.05511763258731E-5
69	27	3.0330705795523862E-5
6a	0	0.0
6b	0	0.0
6c	0	0.0
6d	0	0.0
6e	0	0.0
6f	0	0.0
6g	0	0.0
6h	0	0.0
6i	0	0.0
6j	0	0.0
6k	0	0.0
6l	0	0.0
6m	1	1.1233594739082912E-6
6n	0	0.0
6o	0	0.0
6p	0	0.0
6q	0	0.0
6r	0	0.0
6s	1	1.1233594739082912E-6
6t	27	3.0330705795523862E-5
6u	0	0.0
6v	0	0.0
6w	0	0.0
6x	0	0.0
6y	0	0.0
6z	0	0.0
70	86	9.660891475611304E-5
71	39	4.3811019482423356E-5
72	35	3.931758158679019E-5
73	41	4.605773843023994E-5
74	40	4.493437895633165E-5
75	58	6.515484948668089E-5
76	45	5.05511763258731E-5
77	40	4.493437895633165E-5
78	49	5.504461422150627E-5
79	56	6.29081305388643E-5
7a	0	0.0
7b	0	0.0
7c	0	0.0
7d	0	0.0
7e	0	0.0
7f	0	0.0
7g	0	0.0
7h	0	0.0
7i	0	0.0
7j	0	0.0
7k	0	0.0
7l	0	0.0
7m	1	1.1233594739082912E-6
7n	0	0.0
7o	0	0.0
7p	0	0.0
7q	0	0.0
7r	0	0.0
7s	2	2.2467189478165824E-6
7t	13	1.4603673160807785E-5
7u	1	1.1233594739082912E-6
7v	0	0.0
7w	0	0.0
7x	0	0.0
7y	0	0.0
7z	0	0.0
80	150	1.6850392108624368E-4
81	65	7.301836580403893E-5
82	55	6.178477106495601E-5
83	62	6.964828738231405E-5
84	59	6.627820896058918E-5
85	68	7.63884442257638E-5
86	72	8.088188212139696E-5
87	76	8.537532001703013E-5
88	66	7.414172527794722E-5
89	83	9.323883633438817E-5
8a	0	0.0
8b	0	0.0
8c	0	0.0
8d	0	0.0
8e	0	0.0
8f	0	0.0
8g	0	0.0
8h	0	0.0
8i	0	0.0
8j	0	0.0
8k	0	0.0
8l	1	1.1233594739082912E-6
8m	0	0.0
8n	0	0.0
8o	0	0.0
8p	1	1.1233594739082912E-6
8q	0	0.0
8r	0	0.0
8s	0	0.0
8t	27	3.0330705795523862E-5
8u	0	0.0
8v	0	0.0
8w	0	0.0
8x	0	0.0
8y	0	0.0
8z	0	0.0
90	136	1.527768884515276E-4
91	99	1.1121258791692083E-4
92	119	1.3367977739508664E-4
93	121	1.3592649634290322E-4
94	133	1.494068100298027E-4
95	151	1.6962728056015195E-4
96	183	2.0557478372521727E-4
97	176	1.9771126740785925E-4
98	245	2.752230711075313E-4
99	272	3.055537769030552E-4
9a	0	0.0
9b	0	0.0
9c	0	0.0
9d	0	0.0
9e	5	5.616797369541456E-6
9f	0	0.0
9g	0	0.0
9h	0	0.0
9i	0	0.0
9j	0	0.0
9k	0	0.0
9l	0	0.0
9m	0	0.0
9n	0	0.0
9o	0	0.0
9p	0	0.0
9q	0	0.0
9r	0	0.0
9s	1	1.1233594739082912E-6
9t	51	5.729133316932285E-5
9u	0	0.0
9v	0	0.0
9w	0	0.0
9x	0	0.0
9y	0	0.0
9z	0	0.0
a0	0	0.0
a1	0	0.0
a2	0	0.0
a3	0	0.0
a4	0	0.0
a5	0	0.0
a6	0	0.0
a7	0	0.0
a8	0	0.0
a9	0	0.0
aa	26	2.920734632161557E-5
ab	1741	0.001955768844074335
ac	4039	0.004537248915115588
ad	3203	0.0035981203949282566
ae	200	2.2467189478165824E-4
af	587	6.594120111841669E-4
ag	1947	0.002187180895699443
ah	182	2.04451424251309E-4
ai	2791	0.0031352962916780408
aj	167	1.876010321426846E-4
ak	930	0.0010447243107347109
al	10572	0.011876156358158455
am	2972	0.0033386243564554412
an	17483	0.019639693682338654
ao	41	4.605773843023994E-5
ap	1584	0.0017794014066707332
aq	44	4.942781685196481E-5
ar	10770	0.012098581533992295
as	8656	0.009723799606150168
at	12906	0.014498077370260406
au	1136	0.0012761363623598188
av	1668	0.0018737636024790296
aw	550	6.178477106495602E-4
ax	233	2.6174275742063183E-4
ay	1938	0.002177070660434268
az	155	1.7412071845578512E-4
b0	0	0.0
b1	0	0.0
b2	0	0.0
b3	0	0.0
b4	0	0.0
b5	0	0.0
b6	0	0.0
b7	0	0.0
b8	0	0.0
b9	0	0.0
ba	1319	0.0014817111460850361
bb	119	1.3367977739508664E-4
bc	4	4.493437895633165E-6
bd	25	2.808398684770728E-5
be	4829	0.005424702899503138
bf	3	3.3700784217248735E-6
bg	2	2.2467189478165824E-6
bh	8	8.98687579126633E-6
bi	983	0.0011042623628518503
bj	169	1.898477510905012E-4
bk	0	0.0
bl	1874	0.0021051756541041375
bm	34	3.81942221128819E-5
bn	18	2.022047053034924E-5
bo	1550	0.0017412071845578512
bp	3	3.3700784217248735E-6
bq	0	0.0
br	794	8.919474222831832E-4
bs	378	4.2462988113733404E-4
bt	91	1.022257121256545E-4
bu	1301	0.0014614906755546868
bv	15	1.6850392108624368E-5
bw	8	8.98687579126633E-6
bx	0	0.0
by	1563	0.0017558108577186591
bz	0	0.0
c0	0	0.0
c1	1	1.1233594739082912E-6
c2	0	0.0
c3	0	0.0
c4	0	0.0
c5	0	0.0
c6	0	0.0
c7	0	0.0
c8	0	0.0
c9	0	0.0
ca	5082	0.0057089128464019355
cb	0	0.0
cc	748	8.402728864834017E-4
cd	6	6.740156843449747E-6
ce	5867	0.006590750033419944
cf	3	3.3700784217248735E-6
cg	1	1.1233594739082912E-6
ch	4804	0.005396618912655431
ci	2715	0.0030499209716610106
cj	0	0.0
ck	1221	0.0013716219176420235
cl	1355	0.0015221520871457346
cm	12	1.3480313686899494E-5
cn	1	1.1233594739082912E-6
co	6570	0.0073804717435774735
cp	1	1.1233594739082912E-6
cq	46	5.1674535799781394E-5
cr	1382	0.0015524827929412584
cs	274	3.0780049585087176E-4
ct	4029	0.004526015320376505
cu	1320	0.0014828345055589442
cv	0	0.0
cw	2	2.2467189478165824E-6
cx	0	0.0
cy	292	3.28020966381221E-4
cz	1	1.1233594739082912E-6
d0	0	0.0
d1	0	0.0
d2	0	0.0
d3	0	0.0
d4	0	0.0
d5	0	0.0
d6	0	0.0
d7	0	0.0
d8	0	0.0
d9	0	0.0
da	1298	0.001458120597132962
db	26	2.920734632161557E-5
dc	34	3.81942221128819E-5
dd	456	5.122519201021808E-4
de	6976	0.007836555689984238
df	15	1.6850392108624368E-5
dg	223	2.5050916268154895E-4
dh	54	6.0661411591047724E-5
di	4345	0.004880996914131525
dj	38	4.2687660008515065E-5
dk	4	4.493437895633165E-6
dl	268	3.0106033900742204E-4
dm	133	1.494068100298027E-4
dn	70	7.863516317358038E-5
do	1393	0.0015648397471542497
dp	4	4.493437895633165E-6
dq	7	7.863516317358038E-6
dr	743	8.346560891138603E-4
ds	1073	0.0012053647155035965
dt	37	4.1564300534606774E-5
du	1425	0.001600787250319315
dv	182	2.04451424251309E-4
dw	137	1.5390024792543588E-4
dx	0	0.0
dy	343	3.853122995505439E-4
dz	9	1.011023526517462E-5
e0	0	0.0
e1	0	0.0
e2	0	0.0
e3	0	0.0
e4	0	0.0
e5	2	2.2467189478165824E-6
e6	0	0.0
e7	0	0.0
e8	0	0.0
e9	0	0.0
ea	6338	0.007119852345630749
eb	332	3.7295534533755267E-4
ec	4430	0.00497648246941373
ed	11517	0.01293773106100179
ee	2930	0.003291443258551293
ef	1429	0.001605280688214948
eg	1186	0.0013323043360552334
eh	190	2.1343830004257532E-4
ei	1519	0.0017063830408666943
ej	38	4.2687660008515065E-5
ek	177	1.9883462688176753E-4
el	4939	0.00554827244163305
em	3089	0.0034700574149027115
en	11915	0.01338482813161729
eo	797	8.953175007049081E-4
ep	1537	0.0017266035113970436
eq	486	5.459527043194295E-4
er	19097	0.021452795873226637
es	12022	0.013505027595325476
et	3641	0.004090151844500088
eu	253	2.8420994689879765E-4
ev	2213	0.0024859945157590484
ew	1178	0.001323317460263967
ex	1742	0.0019568922035482434
ey	1077	0.0012098581533992296
ez	57	6.40314900127726E-5
f0	0	0.0
f1	0	0.0
f2	0	0.0
f3	0	0.0
f4	0	0.0
f5	0	0.0
f6	0	0.0
f7	0	0.0
f8	0	0.0
f9	0	0.0
fa	1148	0.0012896166760467183
fb	1	1.1233594739082912E-6
fc	0	0.0
fd	1	1.1233594739082912E-6
fe	2021	0.0022703094967686565
ff	1255	0.0014098161397549055
fg	14	1.5727032634716077E-5
fh	0	0.0
fi	2511	0.002820755638983719
fj	0	0.0
fk	0	0.0
fl	568	6.380681811799094E-4
fm	5	5.616797369541456E-6
fn	31	3.4824143691157027E-5
fo	4033	0.004530508758272139
fp	1	1.1233594739082912E-6
fq	0	0.0
fr	1809	0.002032157288300099
fs	44	4.942781685196481E-5
ft	933	0.0010480943891564357
fu	718	8.065721022661531E-4
fv	1	1.1233594739082912E-6
fw	4	4.493437895633165E-6
fx	0	0.0
fy	90	1.011023526517462E-4
fz	0	0.0
g0	0	0.0
g1	0	0.0
g2	0	0.0
g3	0	0.0
g4	0	0.0
g5	0	0.0
g6	0	0.0
g7	0	0.0
g8	0	0.0
g9	0	0.0
ga	1545	0.0017355903871883098
gb	10	1.1233594739082912E-5
gc	1	1.1233594739082912E-6
gd	59	6.627820896058918E-5
ge	3437	0.0038609865118227967
gf	13	1.4603673160807785E-5
gg	178	1.9995798635567583E-4
gh	1976	0.0022197583204427835
gi	1413	0.0015873069366324154
gj	1	1.1233594739082912E-6
gk	2	2.2467189478165824E-6
gl	524	5.886403643279445E-4
gm	59	6.627820896058918E-5
gn	711	7.98708585948795E-4
go	845	9.49238755452506E-4
gp	3	3.3700784217248735E-6
gq	0	0.0
gr	1515	0.0017018896029710612
gs	485	5.448293448455212E-4
gt	121	1.3592649634290322E-4
gu	825	9.267715659743403E-4
gv	2	2.2467189478165824E-6
gw	11	1.2356954212991203E-5
gx	0	0.0
gy	273	3.066771363769635E-4
gz	4	4.493437895633165E-6
h0	0	0.0
h1	0	0.0
h2	0	0.0
h3	0	0.0
h4	0	0.0
h5	0	0.0
h6	0	0.0
h7	0	0.0
h8	0	0.0
h9	0	0.0
ha	6552	0.007360251273047124
hb	53	5.953805211713943E-5
hc	12	1.3480313686899494E-5
hd	44	4.942781685196481E-5
he	25422	0.02855804454569658
hf	10	1.1233594739082912E-5
hg	1	1.1233594739082912E-6
hh	3	3.3700784217248735E-6
hi	5685	0.006386298609168635
hj	0	0.0
hk	9	1.011023526517462E-5
hl	123	1.381732152907198E-4
hm	89	9.997899317783792E-5
hn	289	3.2465088795949614E-4
ho	3351	0.0037643775970666836
hp	10	1.1233594739082912E-5
hq	6	6.740156843449747E-6
hr	802	9.009342980744495E-4
hs	129	1.4491337213416955E-4
ht	983	0.0011042623628518503
hu	654	7.346770959360225E-4
hv	1	1.1233594739082912E-6
hw	45	5.05511763258731E-5
hx	0	0.0
hy	427	4.7967449535884035E-4
hz	0	0.0
i0	0	0.0
i1	0	0.0
i2	0	0.0
i3	0	0.0
i4	0	0.0
i5	0	0.0
i6	0	0.0
i7	0	0.0
i8	0	0.0
i9	0	0.0
ia	3034	0.0034082726438377556
ib	875	9.829395396697548E-4
ic	6828	0.007670298487845812
id	2655	0.0029825194032265133
ie	3508	0.003940745034470286
if	1451	0.0016299945966409305
ig	2419	0.0027174065673841565
ih	31	3.4824143691157027E-5
ii	16	1.797375158253266E-5
ij	21	2.3590548952074115E-5
ik	335	3.7632542375927756E-4
il	3964	0.004452996954572466
im	2870	0.0032240416901167957
in	21477	0.02412639142112837
io	7322	0.008225238067956508
ip	897	0.0010076534480957372
iq	108	1.2132282318209545E-4
ir	2869	0.0032229183306428876
is	9314	0.010462970139981823
